jurisdiccion;ID1;sector;ambito;presentismo;respondente;matricula del marco;participa
2;766500300757665;Privado;Urbano;36;36;42;1
2;819200320808192;Privado;Urbano;84;84;85;1
2;872100340858721;Privado;Urbano;54;54;59;1
2;925200360909252;Estatal;Urbano;38;37;108;1
2;103200040100103;Estatal;Urbano;43;43;46;1
2;113960044110113;Estatal;Urbano;16;16;20;1
2;119370046115119;Estatal;Urbano;19;19;23;1
2;124800048120124;Estatal;Urbano;86;84;114;1
2;130250050125130;Privado;Urbano;48;48;54;1
2;141210054135141;Estatal;Urbano;41;41;50;1
2;146720056140146;Estatal;Urbano;35;34;41;1
2;152250058145152;Privado;Urbano;21;21;22;1
2;163370062155163;Privado;Urbano;71;71;77;1
2;168960064160168;Estatal;Urbano;37;36;42;1
2;180200068170180;Estatal;Urbano;32;32;41;1
2;191520072180191;Privado;Urbano;58;54;63;1
2;197210074185197;Estatal;Urbano;24;24;24;1
2;202920076190202;Privado;Urbano;24;24;24;1
2;208650078195208;Privado;Urbano;29;29;29;1
2;214400080200214;Estatal;Urbano;42;41;50;1
2;237600088220237;Estatal;Urbano;36;36;46;1
2;243450090225243;Privado;Urbano;24;24;24;1
2;261120096240261;Estatal;Urbano;18;17;22;1
2;267050098245267;Privado;Urbano;47;47;51;1
2;273000010025027;Estatal;Urbano;15;15;17;1
2;333600012030033;Estatal;Urbano;23;23;28;1
2;339770012230533;Estatal;Urbano;20;19;24;1
2;345960012431034;Estatal;Urbano;29;29;35;1
2;358400012832035;Privado;Urbano;34;33;34;1
2;364650013032536;Privado;Urbano;53;41;55;1
2;370920013233037;Privado;Urbano;17;17;21;1
2;389850013834538;Privado;Urbano;46;44;47;1
2;396200014035039;Estatal;Urbano;39;36;62;1
2;402570014235540;Estatal;Urbano;47;47;87;1
2;421800014837042;Estatal;Urbano;87;67;108;1
2;428250015037542;Privado;Urbano;68;68;75;1
2;434720015238043;Privado;Urbano;0;0;30;0
2;454250015839545;Privado;Urbano;21;21;23;1
2;473960016441047;Estatal;Urbano;43;42;44;1
2;480570016641548;Privado;Urbano;82;81;89;1
2;493850017042549;Estatal;Urbano;15;15;15;1
2;500520017243050;Estatal;Urbano;14;14;17;1
2;513920017644051;Estatal;Urbano;46;46;48;1
2;520650017844552;Privado;Urbano;23;23;24;1
2;540960018446054;Privado;Urbano;32;32;35;1
2;547770018646554;Estatal;Urbano;92;88;111;1
2;568320019248056;Estatal;Urbano;51;51;65;1
2;575210019448557;Estatal;Urbano;83;44;101;1
2;582120019649058;Privado;Urbano;57;57;62;1
2;596000020050059;Estatal;Urbano;30;30;43;1
2;609960020451060;Estatal;Urbano;20;19;23;1
2;616970020651561;Estatal;Urbano;15;15;18;1
2;200660000200660;Privado;Urbano;29;29;32;1
2;401212020040121;Estatal;Urbano;51;51;58;1
2;120363630001203;Privado;Urbano;18;18;19;1
2;160484856001604;Estatal;Urbano;49;47;49;1
2;104210034102104;Privado;Urbano;19;18;19;1
2;110520036108110;Privado;Urbano;55;55;62;1
2;116850038114116;Estatal;Urbano;19;19;21;1
2;123200040120123;Privado;Urbano;14;14;15;1
2;135960044132135;Estatal;Urbano;20;18;22;1
2;142370046138142;Estatal;Urbano;24;22;25;1
2;148800048144148;Privado;Urbano;64;58;64;1
2;174720056168174;Privado;Urbano;36;36;38;1
2;207570066198207;Estatal;Urbano;39;39;49;1
2;220850070210220;Estatal;Urbano;21;21;21;1
2;227520072216227;Privado;Urbano;19;19;42;1
2;234210074222234;Privado;Urbano;24;24;28;1
2;247650078234247;Estatal;Urbano;38;37;48;1
2;267960084252267;Estatal;Urbano;140;125;155;1
2;288450090270288;Privado;Urbano;104;101;130;1
2;295320092276295;Privado;Urbano;11;11;11;1
2;309120096288309;Estatal;Urbano;37;35;41;1
2;316050098294316;Estatal;Urbano;33;33;37;1
2;323000010030032;Estatal;Urbano;76;74;84;1
2;336960010431233;Estatal;Urbano;21;21;22;1
2;351000010832435;Privado;Urbano;27;27;28;1
2;372210011434237;Privado;Urbano;24;24;29;1
2;379320011634837;Estatal;Urbano;25;25;28;1
2;386450011835438;Privado;Urbano;63;63;66;1
2;393600012036039;Estatal;Urbano;36;36;39;1
2;407960012437240;Privado;Urbano;75;75;79;1
2;415170012637841;Estatal;Urbano;41;41;44;1
2;422400012838442;Estatal;Urbano;28;28;34;1
2;429650013039042;Estatal;Urbano;35;35;36;1
2;436920013239643;Estatal;Urbano;24;24;30;1
2;444210013440244;Privado;Urbano;69;63;71;1
2;451520013640845;Privado;Urbano;62;59;66;1
2;473570014242647;Estatal;Urbano;94;94;111;1
2;480960014443248;Privado;Urbano;68;66;80;1
2;488370014643848;Estatal;Urbano;109;107;118;1
2;495800014844449;Privado;Urbano;17;17;47;1
2;510720015245651;Privado;Urbano;73;73;77;1
2;518210015446251;Privado;Urbano;48;47;56;1
2;525720015646852;Privado;Urbano;53;53;58;1
2;533250015847453;Privado;Urbano;25;25;29;1
2;540800016048054;Privado;Urbano;113;113;118;1
2;548370016248654;Privado;Urbano;19;19;23;1
2;555960016449255;Estatal;Urbano;71;71;88;1
2;578850017051057;Estatal;Urbano;41;41;44;1
2;594210017452259;Privado;Urbano;78;77;85;1
2;601920017652860;Privado;Urbano;44;44;50;1
2;609650017853460;Privado;Urbano;49;49;49;1
2;617400018054061;Privado;Urbano;37;37;37;1
2;625170018254662;Estatal;Urbano;32;32;47;1
2;640770018655864;Estatal;Urbano;14;12;14;1
2;648600018856464;Privado;Urbano;55;54;60;1
2;656450019057065;Privado;Urbano;32;32;34;1
2;680120019658868;Estatal;Urbano;39;39;55;1
2;696000020060069;Estatal;Urbano;65;63;106;1
2;719970020661871;Privado;Urbano;24;24;28;1
2;200770000200770;Privado;Urbano;70;70;72;1
2;401414020040141;Estatal;Urbano;41;41;47;1
2;120424230001204;Estatal;Urbano;25;25;30;1
2;160565656001605;Estatal;Urbano;38;30;45;1
2;180636372001806;Estatal;Urbano;86;86;89;1
2;220777810002207;Estatal;Urbano;20;20;22;1
2;106650030105106;Estatal;Urbano;43;41;59;1
2;128520036126128;Estatal;Urbano;75;75;86;1
2;143200040140143;Privado;Urbano;63;63;68;1
2;150570042147150;Estatal;Urbano;32;32;34;1
2;157960044154157;Privado;Urbano;0;0;24;0
2;180250050175180;Privado;Urbano;49;49;51;1
2;195210054189195;Privado;Urbano;24;21;27;1
2;217800060210217;Estatal;Urbano;17;16;19;1
2;225370062217225;Estatal;Urbano;20;20;23;1
2;232960064224232;Privado;Urbano;92;92;101;1
2;240570066231240;Privado;Urbano;41;41;48;1
2;248200068238248;Estatal;Urbano;30;30;35;1
2;255850070245255;Estatal;Urbano;15;0;15;0
2;271210074259271;Privado;Urbano;32;32;33;1
2;286650078273286;Estatal;Urbano;41;39;43;1
2;294400080280294;Privado;Urbano;44;44;48;1
2;309960084294309;Privado;Urbano;169;169;184;1
2;317770086301317;Privado;Urbano;59;59;63;1
2;325600088308325;Privado;Urbano;27;26;30;1
2;333450090315333;Privado;Urbano;19;18;22;1
2;349210094329349;Estatal;Urbano;69;69;75;1
2;365050098343365;Estatal;Urbano;84;84;92;1
2;380970010235738;Privado;Urbano;76;76;81;1
2;388960010436438;Privado;Urbano;115;79;131;1
2;396970010637139;Privado;Urbano;52;52;54;1
2;413050011038541;Estatal;Urbano;15;15;20;1
2;429210011439942;Privado;Urbano;49;49;51;1
2;469960012443446;Estatal;Urbano;51;50;56;1
2;486400012844848;Estatal;Urbano;29;27;34;1
2;494650013045549;Estatal;Urbano;20;20;21;1
2;502920013246250;Estatal;Urbano;21;20;26;1
2;511210013446951;Estatal;Urbano;40;39;43;1
2;527850013848352;Estatal;Urbano;48;48;60;1
2;536200014049053;Privado;Urbano;53;53;59;1
2;544570014249754;Privado;Urbano;71;71;80;1
2;552960014450455;Privado;Urbano;57;57;68;1
2;561370014651156;Privado;Urbano;32;32;39;1
2;586720015253258;Estatal;Urbano;79;43;109;1
2;603720015654660;Estatal;Urbano;44;44;46;1
2;612250015855361;Estatal;Urbano;16;0;17;0
2;620800016056062;Privado;Urbano;27;27;28;1
2;637960016457463;Estatal;Urbano;41;41;45;1
2;655200016858865;Estatal;Urbano;33;30;45;1
